Time [s],Channel 15
0.000000000,0
39.995061280,1
39.995061440,0
39.995075680,1
39.995075840,0
490.434165760,1
490.434165920,0
703.205487200,1
703.205487360,0
880.498731200,1
880.498731360,0
1022.339549600,1
1022.339549760,0
1057.810672160,1
1057.810672320,0
1199.637681440,1
1199.637681600,0
1412.409734720,1
1412.409734880,0
1696.083924640,1
1696.083924800,0
1696.083939040,1
1696.083939200,0
1873.387803520,1
1873.387803680,0
1908.847902400,1
1908.847902560,0
1944.308720320,1
1944.308720480,0
2007.902453760,0
